#OTU ID	1_BZ_1_FISH	1_BZ_2_FISH	1_BZ_3_FISH	1_DB_1_FISH	1_DB_2_FISH	1_DB_3_FISH	1_N_1_FISH	1_N_2_FISH	1_N_3_FISH	1_NZ_1_FISH	1_NZ_2_FISH	1_NZ_3_FISH	1_PP_1_FISH	1_PP_2_FISH	1_PP_3_FISH
Zotu1	12808	21712	12950	25730	22225	29452	1	39	0	9	2	27671	13261	22375	8921
Zotu2	14088	7995	12224	4814	3813	1	5151	75	0	0	16626	1	4821	6041	7775
Zotu14	606	362	536	178	151	0	507	1	1	0	719	0	225	274	245
Zotu3	45	19	38	10	3	0	59060	3	2	0	53	0	16	17	28
Zotu16	154	80	133	31	22	0	35	0	0	0	177	0	51	52	102
Zotu18	1	1	2	1	1	0	499	0	0	0	0	0	3	1	2
Zotu12	0	1091	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu17	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu5	0	51	0	0	0	0	0	21	0	22717	6677	184	5	0	0
Zotu4	0	0	0	2	0	0	0	8	0	0	14031	72	7989	806	9031
Zotu6	0	0	0	0	8328	0	0	0	0	0	1	0	0	0	0
Zotu13	0	0	0	0	630	0	0	0	0	0	0	0	0	0	0
Zotu11	0	0	0	0	1157	0	0	0	0	0	0	0	0	0	0
Zotu9	0	0	0	0	616	1200	0	3	0	0	0	0	0	0	0
Zotu15	0	0	0	0	0	481	0	0	0	0	0	0	0	0	0
Zotu20	0	0	0	0	0	1	0	0	0	0	0	0	0	60	0
Zotu7	0	0	0	0	0	0	0	0	0	0	0	0	2378	6048	0
Zotu10	0	0	0	0	0	0	0	0	0	0	0	0	1236	0	0
Zotu8	0	0	0	0	0	0	0	0	0	0	0	0	2	1	5092
Zotu19	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0
Zotu21	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0
